Discard?,DOI,Pub Year,Study_number,RN,Author,Study_midyear,Ecosystem_type,Manipulation,Manipulation_V2,Manipulation_level,Latitude,Longitude,Elevation,Soil_type,Meas_method,Soil_drainage,CH4_annual,CH4_growingseason,CH4_monthly,CH4-C_converted,Season_converted,N,CH4_flux_unit,CH4_flux_unit_V2,SD_CH4_annual,SD_CH4_growingseason,SD_CH4_monthly,SM_value,SM_sd,SM_depth,SM_unit,same timescale as flux? (T/F),"if False, timescale",Timeseries Data?,Notes
,10.1590/S0100-204X2016000900016,2016,23072,1,Zschornack,2008,Agriculture,Fertilization,Fertilization,Fallow,-30.05,-52.883,,Arenic Haplic Eutrophic Planosol,Gas Chromatography,Dry,,11.4,,,30.4,3,,kg/ha/yr,,,,,,,,,,,Nov. - Feb/Mar
,10.1590/S0100-204X2016000900016,2016,23072,2,Zschornack,2008,Agriculture,Fertilization,Fertilization,200 kg/ha NPK; ryegrass+Gherkin,-30.05,-52.883,,Arenic Haplic Eutrophic Planosol,Gas Chromatography,Dry,,119.1,,,317.6,3,,kg/ha/yr,,,,,,,,,,,Nov. - Feb/Mar
,10.1590/S0100-204X2016000900016,2016,23072,3,Zschornack,2008,Agriculture,Fertilization,Fertilization,200 kg/ha NPK; ryegrass+Gherkin,-30.05,-52.883,,Arenic Haplic Eutrophic Planosol,Gas Chromatography,Dry,,118.3,,,315.4666667,3,,kg/ha/yr,,,,,,,,,,,Nov. - Feb/Mar
,10.1590/S0100-204X2016000900016,2016,23072,4,Zschornack,2008,Agriculture,Precipitation,Precipitation,Bare soil,-30.05,-52.883,,Arenic Haplic Eutrophic Planosol,Gas Chromatography,Dry,,263.3,,,702.1333333,3,,kg/ha/yr,,,,1,,,WFPS%,TRUE,,,Nov. - Feb/Mar
,10.1023/A:1009823425806,2000,23071,1,Xu,2016.5,Agriculture,Fertilization,Fertilization,Dry fallow,32.2,119.5,,Typic Haplaquepts,Gas Chromatography,Wet,,28.6,,,,3,,mg/m2/h,,,,1,,,WFPS%,TRUE,,,
,10.1023/A:1009823425806,2000,23071,2,Xu,2016.5,Agriculture,Fertilization,Fertilization,Flooded fallow,32.2,119.5,,Typic Haplaquepts,Gas Chromatography,Wet,,24.59,,,,3,,mg/m2/h,,,,1,,,WFPS%,TRUE,,,
,10.1023/A:1009823425806,2000,23071,3,Xu,2016.5,Agriculture,Fertilization,Fertilization,Dry fallow,32.2,119.5,,Typic Haplaquepts,Gas Chromatography,Wet,,19.73,,,,3,,mg/m2/h,,,,1,,,WFPS%,TRUE,,,
,10.1023/A:1009823425806,2000,23071,4,Xu,2016.5,Agriculture,Fertilization,Fertilization,Alfalfa,32.2,119.5,,Typic Haplaquepts,Gas Chromatography,Wet,,4.73,,,,3,,mg/m2/h,,,,1,,,WFPS%,TRUE,,,
,10.1023/A:1009823425806,2000,23071,5,Xu,2016.5,Agriculture,Fertilization,Fertilization,Wheat,32.2,119.5,,Typic Haplaquepts,Gas Chromatography,Wet,,4.06,,,,3,,mg/m2/h,,,,1,,,WFPS%,TRUE,,,
,10.1023/A:1009823425806,2000,23071,6,Xu,2017.5,Agriculture,Fertilization,Fertilization,Dry fallow,32.2,119.5,,Typic Haplaquepts,Gas Chromatography,Wet,,38.17,,,,3,,mg/m2/h,,,,1,,,WFPS%,TRUE,,,
,10.1023/A:1009823425806,2000,23071,7,Xu,2017.5,Agriculture,Fertilization,Fertilization,Flooded fallow,32.2,119.5,,Typic Haplaquepts,Gas Chromatography,Wet,,16.21,,,,3,,mg/m2/h,,,,1,,,WFPS%,TRUE,,,
,10.1023/A:1009823425806,2000,23071,8,Xu,2017.5,Agriculture,Fertilization,Fertilization,Dry fallow,32.2,119.5,,Typic Haplaquepts,Gas Chromatography,Wet,,35.2,,,,3,,mg/m2/h,,,,1,,,WFPS%,TRUE,,,
,10.1023/A:1009823425806,2000,23071,9,Xu,2017.5,Agriculture,Fertilization,Fertilization,Alfalfa,32.2,119.5,,Typic Haplaquepts,Gas Chromatography,Wet,,5.62,,,,3,,mg/m2/h,,,,1,,,WFPS%,TRUE,,,
,10.1023/A:1009823425806,2000,23071,10,Xu,2017.5,Agriculture,Fertilization,Fertilization,Wheat,32.2,119.5,,Typic Haplaquepts,Gas Chromatography,Wet,,3.15,,,,3,,mg/m2/h,,,,1,,,WFPS%,TRUE,,,
,10.11821/dlxb202011004,2020,23070,1,Wu,2017,Forest,None,None,,53.583,122.275,400,,Gas Chromatography,Dry,,,,,,,,,,,,,,,,,,Upon Request,
,10.3390/su11154232 ,2019,23069,1,Wu,2016,Forest,None,None,,45.375,127.533,,,Gas Chromatography,Dry,,−0.079,,,,3,mg CH4 m−2 h−1,mg/m2/h,,0.01039230485,,35.45,1.697409791,40,VWC%,TRUE,,Figure/Table,
,10.3390/su11154232 ,2019,23069,2,Wu,2016,Forest,None,None,,45.375,127.533,,,Gas Chromatography,Dry,,−0.088,,,,3,mg CH4 m−2 h−1,mg/m2/h,,0.005196152423,,27.9,0.4156921938,40,VWC%,TRUE,,Figure/Table,
,10.3390/su11154232 ,2019,23069,3,Wu,2016,Forest,None,None,,45.375,127.533,,,Gas Chromatography,Dry,,−0.098,,,,3,mg CH4 m−2 h−1,mg/m2/h,,0.01212435565,,34.42,1.143153533,40,VWC%,TRUE,,Figure/Table,
,10.3390/su11154232 ,2019,23069,4,Wu,2016,Forest,None,None,,45.375,127.533,,,Gas Chromatography,Dry,,−0.084,,,,3,mg CH4 m−2 h−1,mg/m2/h,,0.00692820323,,26.58,1.108512517,40,VWC%,TRUE,,Figure/Table,
,10.3390/su11154232 ,2019,23069,5,Wu,2016,Forest,None,None,,45.375,127.533,,,Gas Chromatography,Dry,,−0.096,,,,3,mg CH4 m−2 h−1,mg/m2/h,,0.01905255888,,30.84,1.420281662,40,VWC%,TRUE,,Figure/Table,
,10.3390/su11154232 ,2019,23069,6,Wu,2016,Forest,None,None,,45.375,127.533,,,Gas Chromatography,Dry,,−0.101,,,,3,mg CH4 m−2 h−1,mg/m2/h,,0.01039230485,,27.35,1.939896904,40,VWC%,TRUE,,Figure/Table,
,10.3390/su11154232 ,2019,23069,7,Wu,2016,Forest,None,None,,45.375,127.533,,,Gas Chromatography,Dry,,−0.092,,,,3,mg CH4 m−2 h−1,mg/m2/h,,0.01905255888,,23.96,1.628127759,40,VWC%,TRUE,,Figure/Table,
,10.1038/s41598-017-19110-2,2018,23068,1,Wu,2015.5,Agriculture,Flooding,Precipitation,Continuous Flooding,28.917,111.5,108.75,Stagnic Anthrosols,Gas Chromatography,Wet,,,249.3,332.9748021,799.139525,3,kg CH4 ha−1 season-1,kg/ha/yr,,,24.76832655,1,,,WFPS%,TRUE,,,Nov. - Apr. Fallow Period
,10.1038/s41598-017-19110-2,2018,23068,2,Wu,2015.5,Agriculture,Flooding,Precipitation,"flooding in rice season, except drainage at midseason and harvest time",28.917,111.5,108.75,Stagnic Anthrosols,Gas Chromatography,Wet,,,131.4,175.5029643,421.2071143,3,kg CH4 ha−1 season-1,kg/ha/yr,,,9.872689603,,,,,,,,Nov. - Apr. Fallow Period
,10.1038/s41598-017-19110-2,2018,23068,3,Wu,2015.5,Agriculture,Flooding,Precipitation,"flooding for transplanting and tillering, with no further irrigation",28.917,111.5,108.75,Stagnic Anthrosols,Gas Chromatography,Wet,,,55.2,73.72727267,176.9454544,3,kg CH4 ha−1 season-1,kg/ha/yr,,,9.353074361,,,,,,,,Nov. - Apr. Fallow Period
,10.1038/s41598-017-19110-2,2018,23068,4,Wu,2015.5,Agriculture,Flooding,Precipitation,Continuous Flooding,28.917,111.5,108.75,Stagnic Anthrosols,Gas Chromatography,Wet,,,505.3,674.8983855,2024.695156,3,kg CH4 ha−1 season-1,kg/ha/yr,,,32.56255518,1,,,WFPS%,TRUE,,,Apr. - Aug. Early Rice Period
,10.1038/s41598-017-19110-2,2018,23068,5,Wu,2015.5,Agriculture,Flooding,Precipitation,"flooding in rice season, except drainage at midseason and harvest time",28.917,111.5,108.75,Stagnic Anthrosols,Gas Chromatography,Wet,,,242.1,323.3582013,970.0746039,3,kg CH4 ha−1 season-1,kg/ha/yr,,,16.97409791,,,,,,,,Apr. - Aug. Early Rice Period
,10.1038/s41598-017-19110-2,2018,23068,6,Wu,2015.5,Agriculture,Flooding,Precipitation,"flooding for transplanting and tillering, with no further irrigation",28.917,111.5,108.75,Stagnic Anthrosols,Gas Chromatography,Wet,,,56.5,75.46360336,226.3908101,3,kg CH4 ha−1 season-1,kg/ha/yr,,,23.3826859,,,,,,,,Apr. - Aug. Early Rice Period
,10.1038/s41598-017-19110-2,2018,23068,7,Wu,2015.5,Agriculture,Flooding,Precipitation,Continuous Flooding,28.917,111.5,108.75,Stagnic Anthrosols,Gas Chromatography,Wet,,,50.2,67.04907768,201.147233,3,kg CH4 ha−1 season-1,kg/ha/yr,,,11.77794549,1,,,WFPS%,TRUE,,,Aug. - Nov. Late rice period
,10.1038/s41598-017-19110-2,2018,23068,8,Wu,2015.5,Agriculture,Flooding,Precipitation,"flooding in rice season, except drainage at midseason and harvest time",28.917,111.5,108.75,Stagnic Anthrosols,Gas Chromatography,Wet,,,2.5,3.339097494,10.01729248,3,kg CH4 ha−1 season-1,kg/ha/yr,,,0.3464101615,,,,,,,,Aug. - Nov. Late rice period
,10.1038/s41598-017-19110-2,2018,23068,9,Wu,2015.5,Agriculture,Flooding,Precipitation,"flooding for transplanting and tillering, with no further irrigation",28.917,111.5,108.75,Stagnic Anthrosols,Gas Chromatography,Wet,,,0.5,0.6678194988,2.003458496,3,kg CH4 ha−1 season-1,kg/ha/yr,,,0.1732050808,,,,,,,,Aug. - Nov. Late rice period
,10.1371/journal.pone.0263555,2021,23067,1,Win,2016.5,Agriculture,None,None,,19.75,96.1,,,Gas Chromatography,Wet,,0.893,,,,3,g kg-1 soil,g kg-1 soil,,,,,,,,,,,Jun.-Oct.
,10.1371/journal.pone.0263555,2021,23067,2,Win,2016.5,Agriculture,Fertilization,Fertilization,Compost,19.75,96.1,,,Gas Chromatography,Wet,,0.951,,,,3,g kg-1 soil,g kg-1 soil,,,,,,,,,,,Jun.-Oct.
,10.1371/journal.pone.0263555,2021,23067,3,Win,2016.5,Agriculture,Fertilization,Fertilization,Cow Dung,19.75,96.1,,,Gas Chromatography,Wet,,0.808,,,,3,g kg-1 soil,g kg-1 soil,,,,,,,,,,,Jun.-Oct.
,10.1371/journal.pone.0263555,2021,23067,4,Win,2017.5,Agriculture,Flooding,Precipitation,Continuous Flooding,22.217,91.117,,,Gas Chromatography,Wet,,,3.327,,,3,g kg-1 soil,g kg-1 soil,,,,1,,,WFPS%,TRUE,,,Dry Season
,10.1371/journal.pone.0263555,2021,23067,5,Win,2017.5,Agriculture,Wetting,Precipitation,Alternate Wetting and Drying,22.217,91.117,,,Gas Chromatography,Wet,,,0.996,,,3,g kg-1 soil,g kg-1 soil,,,,,,,,,,,Wet Season
,10.1371/journal.pone.0263555,2021,23067,6,Win,2017.5,Agriculture,Flooding,Precipitation,Continuous Flooding,22.217,91.117,,,Gas Chromatography,Wet,,,2.009,,,3,g kg-1 soil,g kg-1 soil,,,,1,,,WFPS%,TRUE,,,Dry Season
,10.1371/journal.pone.0263555,2021,23067,7,Win,2017.5,Agriculture,Wetting,Precipitation,Alternate Wetting and Drying,22.217,91.117,,,Gas Chromatography,Wet,,,0.682,,,3,g kg-1 soil,g kg-1 soil,,,,,,,,,,,Wet Season
Discard,10.1007/s10333-013-0406-y,2015,23066,1,Win,2009.5,Agriculture,,,,35.7127,139.4,,Fluvisols,Gas Chromatography,Wet,,,,,,,g CH4 m-2 season-1,g CH4 m-2 season-1,,,,,,,,,,,
Discard,10.1111/j.1574-6941.1998.tb00486.x,1998,23065,1,West,,Forest,Wetting,Precipitation,,40.033,-105.33,9979,,Gas Chromatography,Dry,,,,,,,,,,,,,,,,,,,Only 11 days
,10.1029/2006JD007388,2007,23064,1,Werner,2004.5,Forest,None,None,,0.267,34.867,1600,Luvisols,FID,Dry,,,-56.4,-75.33003946,,1458,mg C m-2 h-1,mg/m2/h,30.54701295,,,0.2,,10,WFPS%,TRUE,,Figure/Table,April - June (dry to wet)
,10.1111/gcb.13099,2016,23063,1,Weller,2012.5,Agriculture,None,None,,14.163,121.26,21,Andaqueptic Haplaquoll,Gas Chromatography,Medium,189.2,,,,,3,kg CH4 ha-1 yr-1,,23.1,,,,,10,WFPS%,TRUE,,Dataset Link,Maize; data from SI; upon request for 15cm and 4cm WFPS
,10.1111/gcb.13099,2016,23063,1,Weller,2012.5,Agriculture,Conventional fertilization,Fertilization ,130 kgN/ha,14.163,121.26,21,Andaqueptic Haplaquoll,Gas Chromatography,Medium,75,,,,,3,kg CH4 ha-1 yr-1,,19.9,,,,,10,WFPS%,TRUE,,Dataset Link,Maize; data from SI; upon request for 15cm and 4cm WFPS
,10.1111/gcb.13099,2016,23063,1,Weller,2012.5,Agriculture,Site-specific fertilization,Fertilization ,,14.163,121.26,21,Andaqueptic Haplaquoll,Gas Chromatography,Medium,86.4,,,,,3,kg CH4 ha-1 yr-1,,27.7,,,,,10,WFPS%,TRUE,,Dataset Link,Maize; data from SI; upon request for 15cm and 4cm WFPS
,10.1111/gcb.13099,2016,23063,1,Weller,2012.5,Agriculture,None,None,,14.163,121.26,21,Andaqueptic Haplaquoll,Gas Chromatography,Medium,192.9,,,,,3,kg CH4 ha-1 yr-1,,31.9,,,,,10,WFPS%,TRUE,,Dataset Link,Aerobic rice; data from SI; upon request for 15cm and 4cm WFPS
,10.1111/gcb.13099,2016,23063,1,Weller,2012.5,Agriculture,Conventional fertilization,Fertilization ,130 kgN/ha,14.163,121.26,21,Andaqueptic Haplaquoll,Gas Chromatography,Medium,199.2,,,,,3,kg CH4 ha-1 yr-1,,19.1,,,,,10,WFPS%,TRUE,,Dataset Link,Aerobic rice; data from SI; upon request for 15cm and 4cm WFPS
,10.1111/gcb.13099,2016,23063,1,Weller,2012.5,Agriculture,Site-specific fertilization,Fertilization ,,14.163,121.26,21,Andaqueptic Haplaquoll,Gas Chromatography,Medium,234,,,,,3,kg CH4 ha-1 yr-1,,51.7,,,,,10,WFPS%,TRUE,,Dataset Link,Aerobic rice; data from SI; upon request for 15cm and 4cm WFPS
,10.1111/gcb.13099,2016,23063,1,Weller,2012.5,Agriculture,None,None,,14.163,121.26,21,Andaqueptic Haplaquoll,Gas Chromatography,Medium,378,,,,,3,kg CH4 ha-1 yr-1,,37.2,,,,,10,WFPS%,TRUE,,Dataset Link,Paddy rice; data from SI; upon request for 15cm and 4cm WFPS
,10.1111/gcb.13099,2016,23063,1,Weller,2012.5,Agriculture,Conventional fertilization,Fertilization ,130 kgN/ha,14.163,121.26,21,Andaqueptic Haplaquoll,Gas Chromatography,Medium,288.2,,,,,3,kg CH4 ha-1 yr-1,,80.9,,,,,10,WFPS%,TRUE,,Dataset Link,Paddy rice; data from SI; upon request for 15cm and 4cm WFPS
,10.1111/gcb.13099,2016,23063,1,Weller,2012.5,Agriculture,Site-specific fertilization,Fertilization ,,14.163,121.26,21,Andaqueptic Haplaquoll,Gas Chromatography,Medium,255.1,,,,,3,kg CH4 ha-1 yr-1,,37.2,,,,,10,WFPS%,TRUE,,Dataset Link,Paddy rice; data from SI; upon request for 15cm and 4cm WFPS
,10.1111/gcb.13099,2016,23063,1,Weller,2013.5,Agriculture,None,None,,14.163,121.26,21,Andaqueptic Haplaquoll,Gas Chromatography,Medium,43.5,,,,,3,kg CH4 ha-1 yr-1,,18.6,,,,,10,WFPS%,TRUE,,Dataset Link,Maize; data from SI; upon request for 15cm and 4cm WFPS
,10.1111/gcb.13099,2016,23063,1,Weller,2013.5,Agriculture,Conventional fertilization,Fertilization ,130 kgN/ha,14.163,121.26,21,Andaqueptic Haplaquoll,Gas Chromatography,Medium,46.5,,,,,3,kg CH4 ha-1 yr-1,,25.5,,,,,10,WFPS%,TRUE,,Dataset Link,Maize; data from SI; upon request for 15cm and 4cm WFPS
,10.1111/gcb.13099,2016,23063,1,Weller,2013.5,Agriculture,Site-specific fertilization,Fertilization ,,14.163,121.26,21,Andaqueptic Haplaquoll,Gas Chromatography,Medium,16.3,,,,,3,kg CH4 ha-1 yr-1,,5.5,,,,,10,WFPS%,TRUE,,Dataset Link,Maize; data from SI; upon request for 15cm and 4cm WFPS
,10.1111/gcb.13099,2016,23063,1,Weller,2013.5,Agriculture,None,None,,14.163,121.26,21,Andaqueptic Haplaquoll,Gas Chromatography,Medium,83.1,,,,,3,kg CH4 ha-1 yr-1,,21.2,,,,,10,WFPS%,TRUE,,Dataset Link,Aerobic rice; data from SI; upon request for 15cm and 4cm WFPS
,10.1111/gcb.13099,2016,23063,1,Weller,2013.5,Agriculture,Conventional fertilization,Fertilization ,130 kgN/ha,14.163,121.26,21,Andaqueptic Haplaquoll,Gas Chromatography,Medium,60.7,,,,,3,kg CH4 ha-1 yr-1,,20.6,,,,,10,WFPS%,TRUE,,Dataset Link,Aerobic rice; data from SI; upon request for 15cm and 4cm WFPS
,10.1111/gcb.13099,2016,23063,1,Weller,2013.5,Agriculture,Site-specific fertilization,Fertilization ,,14.163,121.26,21,Andaqueptic Haplaquoll,Gas Chromatography,Medium,99.5,,,,,3,kg CH4 ha-1 yr-1,,57.5,,,,,10,WFPS%,TRUE,,Dataset Link,Aerobic rice; data from SI; upon request for 15cm and 4cm WFPS
,10.1111/gcb.13099,2016,23063,1,Weller,2013.5,Agriculture,None,None,,14.163,121.26,21,Andaqueptic Haplaquoll,Gas Chromatography,Medium,242.7,,,,,3,kg CH4 ha-1 yr-1,,33.1,,,,,10,WFPS%,TRUE,,Dataset Link,Paddy rice; data from SI; upon request for 15cm and 4cm WFPS
,10.1111/gcb.13099,2016,23063,1,Weller,2013.5,Agriculture,Conventional fertilization,Fertilization ,130 kgN/ha,14.163,121.26,21,Andaqueptic Haplaquoll,Gas Chromatography,Medium,196.8,,,,,3,kg CH4 ha-1 yr-1,,30,,,,,10,WFPS%,TRUE,,Dataset Link,Paddy rice; data from SI; upon request for 15cm and 4cm WFPS
,10.1111/gcb.13099,2016,23063,1,Weller,2013.5,Agriculture,Site-specific fertilization,Fertilization ,,14.163,121.26,21,Andaqueptic Haplaquoll,Gas Chromatography,Medium,238.2,,,,,3,kg CH4 ha-1 yr-1,,86.6,,,,,10,WFPS%,TRUE,,Dataset Link,Paddy rice; data from SI; upon request for 15cm and 4cm WFPS
,10.3390/f9040204,2018,23062,1,Wei,2015.5,Forest,None,None,,33.467,111.917,,brunisolic,Gas Chromatography,Dry,,,-0.23,,,5,mg CH4 m−2 h−1,mg/m2/h,,,,0.372,,10,WFPS%,TRUE,,Figure/Table,
,10.3390/f9040204,2018,23062,2,Wei,2015.5,Forest,None,None,,18.617,108.833,,podzolic,Gas Chromatography,Dry,,,-0.1,,,5,mg CH4 m−2 h−1,mg/m2/h,,,,0.525,,10,WFPS%,TRUE,,Figure/Table,
,10.3390/f9040204,2018,23062,3,Wei,2016,Forest,None,None,,33.467,111.917,,brunisolic,Gas Chromatography,Dry,,,-0.1,,,5,mg CH4 m−2 h−1,mg/m2/h,,,,0.519,,10,WFPS%,TRUE,,Figure/Table,
,10.3390/f9040204,2018,23062,4,Wei,2016,Forest,None,None,,18.617,108.833,,podzolic,Gas Chromatography,Dry,,,-0.025,,,5,mg CH4 m−2 h−1,mg/m2/h,,,,0.436,,10,WFPS%,TRUE,,Figure/Table,
,10.3390/f9040204,2018,23062,5,Wei,2016.5,Forest,None,None,,33.467,111.917,,brunisolic,Gas Chromatography,Dry,,,-0.07,,,5,mg CH4 m−2 h−1,mg/m2/h,,,,0.503,,10,WFPS%,TRUE,,Figure/Table,
,10.3390/f9040204,2018,23062,6,Wei,2016.5,Forest,None,None,,18.617,108.833,,podzolic,Gas Chromatography,Dry,,,-0.02,,,5,mg CH4 m−2 h−1,mg/m2/h,,,,0.341,,10,WFPS%,TRUE,,Figure/Table,
,10.3390/f9040204,2018,23062,7,Wei,2016.5,Forest,None,None,,33.467,111.917,,brunisolic,Gas Chromatography,Dry,,,-0.205,,,5,mg CH4 m−2 h−1,mg/m2/h,,,,0.604,,10,WFPS%,TRUE,,Figure/Table,
,10.3390/f9040204,2018,23062,8,Wei,2016.5,Forest,None,None,,18.617,108.833,,podzolic,Gas Chromatography,Dry,,,-0.095,,,5,mg CH4 m−2 h−1,mg/m2/h,,,,0.419,,10,WFPS%,TRUE,,Figure/Table,
,10.1023/A:1009838401699,2000,23061,1,Wassmann,1994.5,Agriculture,Flooding + Plant Residue,Precipitation + Litter ,,14.15,121.25,,Aquandic Epiaqualf,Gas Chromatography,Wet,,,227,,,,mg CH4 m-2 d-1,mg/m2/d,,,,1,,,WFPS%,TRUE,,,Dry season
,10.1023/A:1009838401699,2000,23061,2,Wassmann,1995,Agriculture,Flooding,Precipitation,,14.15,121.25,,Aquandic Epiaqualf,Gas Chromatography,Wet,,,27,,,,mg CH4 m-2 d-1,mg/m2/d,,,,1,,,WFPS%,TRUE,,,Wet Season
,10.1023/A:1009838401699,2000,23061,3,Wassmann,1996.5,Agriculture,Flooding + Plant Residue,Precipitation + Litter,,14.15,121.25,,Aquandic Epiaqualf,Gas Chromatography,Wet,,,10,,,,mg CH4 m-2 d-1,mg/m2/d,,,,1,,,WFPS%,TRUE,,,Dry season
,10.1023/A:1009838401699,2000,23061,4,Wassmann,1997,Agriculture,Flooding + Plant Residue,Precipitation + Litter,,14.15,121.25,,Aquandic Epiaqualf,Gas Chromatography,Wet,,,40,,,,mg CH4 m-2 d-1,mg/m2/d,,,,1,,,WFPS%,TRUE,,,Wet Season
,10.1007/s10533-018-0435-0,2018,23060,1,Warner,2015,Forest,None,None,,39.7,-75.8333,,Lithic Dystrucepts,Ultra-Portable Greenhouse Gas Analyzer,Dry,-3.3,,,,,,nmol CH4 m-2 s-1,nmol/m2/s,,,,0.33,,4,WFPS%,TRUE,,,
,10.1007/s10533-018-0435-0,2018,23060,2,Warner,2015,Forest,None,None,,39.7,-75.8333,,Lithic Dystrucepts,Ultra-Portable Greenhouse Gas Analyzer,Dry,-7,,,,,,nmol CH4 m-2 s-1,nmol/m2/s,,,,0.3,,4,WFPS%,TRUE,,,
,10.1007/s10533-018-0435-0,2018,23060,3,Warner,2015,Forest,None,None,,39.7,-75.8333,,Lithic Dystrucepts,Ultra-Portable Greenhouse Gas Analyzer,Dry,1,,,,,,nmol CH4 m-2 s-1,nmol/m2/s,,,,0.74,,4,WFPS%,TRUE,,,
,10.1023/A:1006039231459,1999,23059,1,Wang,1990.5,Agriculture,Fertilization + Flooding,Fertilization + Precipitation,7.5 ton horse dung/ha,39,116,,,Gas chromatography,Wet,,109.88,,,263.712,3,g CH4/m2/season,g/m2/yr,,,,1,,,WFPS%,TRUE,,,Jun-Oct
